Time,SOLUSDT,ETHUSDT,BNTUSDT,WBTCUSDT,XRPUSDT,BTCUSDT,YFIUSDT,RAYUSDT,GLMUSDT,VTHOUSDT
1758376800000.0,0.005585785506852173,0.004249989368111085,0.0069223590838392345,0.0004628365494788139,-0.000771203954597855,0.00047057574291463214,0.007490671729157659,0.009508787969027136,0.0062409189458311675,0.006597055261740968
1758380400000.0,0.005554757741339763,0.002452874675358833,0.00303072280474978,0.00023681149936964773,0.0027133422559257486,0.00014080192886554378,0.00465333552564135,0.0037783420264058997,0.0020716808735345353,0.0005477951383219629
1758384000000.0,0.0012071012308813433,0.0009710281105663668,0.0005500550193693225,0.00046526994316114,0.000735687566622009,0.0003555810289603588,0.00037133309004482484,-0.0034629343593848942,-0.0012424934296739092,0.0
1758387600000.0,-0.005213449966655,-0.0036668465523249827,-0.003994770792151575,-0.001915553109491888,-0.0030465883388143458,-0.0017789118550564252,-0.0037195505037048485,-0.004741592572582329,-0.0012440391403310339,-0.0038408826367914194
1758391200000.0,-0.003057273871236138,-0.002425985783595776,-0.004010793012323173,-0.0010523032972328996,-0.002618769332774471,-0.0009520016485208989,-0.004107548717683288,-0.005719748672787065,-0.003325023844771817,-0.0022014318191711717
1758394800000.0,0.0009642595862954039,0.0011077116616053958,0.0013848499651260197,-0.00024086230376390997,-6.723819131794934e-05,-8.219053421161673e-05,0.0,0.0,0.0012481798999327374,0.0
1758398400000.0,0.004557149847988016,0.0010061496442154564,0.002625943047197237,0.0001913463738182482,-0.001177400771812979,0.00016506563124757122,0.003734831605653304,0.005402841682335582,0.0012466238888501574,0.0016515280384729392
1758402000000.0,0.00029195253893273524,0.0012902264365376656,-0.006508366115806799,0.00043518960918050503,0.0032261344646145836,0.0005633513132438839,0.0,0.0,0.0008302200559890558,0.0005499037806982096
1758405600000.0,0.0012919090792714205,0.0007257168998704986,-0.0015293711705333828,0.0001748173836501458,0.0005366786430091689,-8.852906460320387e-05,0.00018637592077063844,0.002532448330335281,0.0,0.0
1758409200000.0,-0.002627245615534162,-0.0029685251391718365,-0.0012530457608900514,-0.0006789704360108327,-0.002383711323260255,-0.0007813820472930727,0.00018634119125929402,-0.003483772327878998,-0.002908790748231645,-0.002752547843040348
1758412800000.0,0.004998344294999821,0.0014541629083534803,0.0018094513949415034,-0.00031307432149090827,0.004627930054793368,-0.00022148677714213308,-0.0001863411912593997,0.0050633019565466345,0.0016632020466029684,0.0016524377210892275
