,Min Uyum,Max Uyum
-5,0.2805049088359046,0.8302945301542777
-4,0.29551820728291317,0.8221288515406162
-3,0.3146853146853147,0.8363636363636363
-2,0.3226256983240223,0.8421787709497207
-1,0.7182705718270572,0.9288702928870293
0,0.32172701949860727,0.8398328690807799
1,0.2649930264993027,0.8312412831241283
2,0.2737430167597765,0.8254189944134078
3,0.2839160839160839,0.8307692307692308
4,0.28851540616246496,0.8417366946778712
5,0.28330995792426367,0.8246844319775596
